Issuer,Ticker,Coupon,Maturity,Issue Date,ISIN,Preferred RIC,Principal Currency,Country of Issue,Issuer Type,Instrument Type,Coupon Type,Amount Issued (USD),Bond Grade,Green Bond,Sector,TRBC Sector,Country of Incorporation,SIC,Use of Proceeds,IsPublic,First Announcement Date
China Everbright Bank Co Ltd (Hong Kong Branch),EVRBKH,1.16625,2021-09-19 00:00:00,2018-09-19,XS1866651471,CN186665147=,US Dollar,Eurobond Market,Corporate,Note,Fixed Margin over Index,300000000,Investment Grade,Yes,Banking,Corporate Banks,Hong Kong,6081,Eligible Green Projects,False,2018-09-13
Kuntarahoitus Oyj,KITUS,1.375,2021-09-21 00:00:00,2016-10-04,US62630CAH43,62630CAH4=,US Dollar,United States,Agency,Note,Plain Vanilla Fixed Coupon,500000000,Investment Grade,Yes,Agency,Commercial Loans,Finland,6159,Clean Transport,False,2016-09-27
Kuntarahoitus Oyj,KITUS,1.375,2021-09-21 00:00:00,2016-10-04,XS1498532271,FI149853227=,US Dollar,Eurobond Market,Agency,Note,Plain Vanilla Fixed Coupon,500000000,Investment Grade,Yes,Agency,Commercial Loans,Finland,6159,Clean Transport,False,2016-09-27
Hitachi Zosen Corp,HITZO,0.24,2021-09-21 00:00:00,2018-09-21,JP378900BJ98,JP00267004=,Japanese Yen,Japan,Corporate,Bond,Plain Vanilla Fixed Coupon,47058823,,Yes,Machinery,Industrial Machinery & Equipment (NEC),Japan,3559,,True,2018-09-14
BBVA Bancomer SA Institucion de Banca Multiple Grupo Financiero BBVA Bancomer,BBVAX,4.88,2021-09-23 00:00:00,2018-09-27,MX94BA0A00F4,BACOMER18V=,Mexican Peso,Mexico,Corporate,Stock Exchange Certificate,Fixed Margin over Index,161890885,Investment Grade,Yes,Banking,Corporate Banks,Mexico,6029,,False,2018-09-27
Bank of the Philippine Islands,BPI,0,2021-09-24 00:00:00,2019-09-24,CH0495570944,CH49557094=,Swiss Franc,Switzerland,Corporate,Bond,Plain Vanilla Fixed Coupon,109182225,Investment Grade,Yes,Banking,Corporate Banks,Philippines,6029,Energy Efficiency,True,2019-08-29
China Construction Bank Corporation SA (Luxembourg Branch),CNCBLK,0.2,2021-09-24 00:00:00,2018-09-24,XS1877506367,CN187750636=,Euro,Eurobond Market,Corporate,Note,Fixed Margin over Index,590848931,Investment Grade,Yes,Banking,Banks (NEC),Luxembourg,6081,Eligible Green Projects,False,2018-09-17
China Datang Corp Renewable Power Co Ltd,SASAXX,3.15,2021-09-27 00:00:00,2016-09-27,CND10000KSZ7,CN136730SH=,Chinese Yuan,China (Mainland),Corporate,China Corporate Bond,Plain Vanilla Fixed Coupon,73206442,,Yes,Utility - Other,Renewable IPPs,China (Mainland),4911,Alternative Energy,True,2016-09-26
Credit Agricole Corporate and Investment Bank SA,CAGRAB,9.76,2021-09-29 00:00:00,2017-09-29,XS1566942071,FR156694207=,Turkish Lira,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,43197123,Investment Grade,Yes,Banking,Banks (NEC),France,6029,Clean Transport,False,2017-09-20
Credit Agricole Corporate and Investment Bank SA,CAGRAB,5.95,2021-09-29 00:00:00,2017-09-29,XS1566942154,FR156694215=,Mexican Peso,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,7631998,Investment Grade,Yes,Banking,Banks (NEC),France,6029,Clean Transport,False,2017-09-20
Castellum AB,CASTZ,1.875,2021-10-04 00:00:00,2016-10-04,SE0009161615,SE0009161615=,Swedish Krona,Sweden,Corporate,Bond,Plain Vanilla Fixed Coupon,39912875,,Yes,Home Builders,"Real Estate Rental, Development & Operations (NEC)",Sweden,6531,Green Construction,True,2016-09-26
Acciona Financiacion Filiales SAU,ANAFN,0.558,2021-10-04 00:00:00,2019-10-04,XS2060619876,ES206061987=,Euro,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,263164114,,Yes,Financial - Other,Corporate Financial Services (NEC),Spain,6799,General Purpose,False,2019-10-02
Castellum AB,CASTZ,1.988,2021-10-04 00:00:00,2016-10-04,SE0009161607,SE0009161607=,Swedish Krona,Sweden,Corporate,Bond,Fixed Margin over Index,74123912,,Yes,Home Builders,"Real Estate Rental, Development & Operations (NEC)",Sweden,6531,Other,True,2016-09-26
Societe Generale SA,SOGN,0.125,2021-10-05 00:00:00,2016-10-05,XS1500337644,FR150033764=,Euro,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,590848931,Investment Grade,Yes,Banking,Banks (NEC),France,6029,Eligible Green Projects,True,2016-09-28
Bkk AS,BKKAS,0.94,2021-10-06 00:00:00,2014-10-06,NO0010720972,NO1072097=,Norwegian Krone,Norway,Corporate,Bond,Fixed Margin over Index,223891457,,Yes,Utility - Other,Electric Utilities (NEC),Norway,4911,Alternative Energy,False,2014-09-25
"Orebro, Municipality of",OERBO,1.038,2021-10-06 00:00:00,2016-10-06,SE0009164213,SE0009164213=,Swedish Krona,Sweden,Non-US Munis,Bond,Fixed Margin over Index,57018394,,Yes,Official and Muni,,Sweden,9311,Alternative Energy,False,2016-10-03
Quantum Solar Park (Semenanjung) Sdn Bhd,QUANSS,5.06,2021-10-06 00:00:00,2017-10-06,MYBVH1702934,MYSUK170293=,Malaysian Ringgit,Malaysia,Corporate,Islamic Sukuk (Murabaha),Plain Vanilla Fixed Coupon,6016847,,Yes,Utility - Other,Electric Utilities (NEC),Malaysia,4911,,False,2017-10-04
Stangastaden AB,LNPSHS,0.5,2021-10-07 00:00:00,2016-10-07,SE0009161458,SE0009161458=,Swedish Krona,Sweden,Corporate,Bond,Plain Vanilla Fixed Coupon,22807357,,Yes,Service - Other,Residential Real Estate Rental & Development,Sweden,6531,Energy Efficiency,False,2016-09-23
Stangastaden AB,LNPSHS,0.782,2021-10-07 00:00:00,2016-10-07,SE0009161441,SE0009161441=,Swedish Krona,Sweden,Corporate,Bond,Fixed Margin over Index,42763795,,Yes,Service - Other,Residential Real Estate Rental & Development,Sweden,6531,Eligible Green Projects,False,2016-09-23
Cooperatieve Rabobank UA,RABO,0.125,2021-10-11 00:00:00,2016-10-11,XS1502438820,NL150243882=,Euro,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,590848931,Investment Grade,Yes,Banking,Banks (NEC),Netherlands,6029,Energy Efficiency,False,2016-10-04
Credit Agricole Corporate and Investment Bank SA,CAGRAB,5.15,2021-10-12 00:00:00,2017-10-11,XS1566941859,FR156694185=,Indian Rupee,Eurobond Market,Corporate,Note,Other / Complex Floating Rate,1225423,,Yes,Banking,Banks (NEC),France,6029,Clean Transport,False,2017-10-11
Poten Environment Group Co Ltd,PEGCL,7.5,2021-10-12 00:00:00,2016-10-12,CND10000KCJ5,CN136749SH=,Chinese Yuan,China (Mainland),Corporate,China Corporate Bond,Step Up / Step Down,43923865,,Yes,Health Care Facilities,Environmental Services & Equipment (NEC),China (Mainland),8999,Eligible Green Projects,True,2016-09-30
Bank of China Ltd (Macau Branch),BKCHMA,0,2021-10-16 00:00:00,2019-10-16,XS2060692873,CN206069287=,Euro,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,354509359,Investment Grade,Yes,Banking,Banks (NEC),Macau,6081,Eligible Green Projects,False,2019-10-09
Bank of China Ltd (Macau Branch),BKCHMA,3.15,2021-10-16 00:00:00,2019-10-16,XS2061682188,CN206168218=,Chinese Yuan,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,292825768,Investment Grade,Yes,Banking,Banks (NEC),Macau,6081,Eligible Green Projects,False,2019-10-10
Jernhusen AB,JENEN,0.762,2021-10-18 00:00:00,2019-04-18,SE0012193670,SE0012193670=,Swedish Krona,Sweden,Corporate,Bond,Fixed Margin over Index,85527591,,Yes,Railroads,Construction & Engineering (NEC),Sweden,4011,General Purpose,False,2019-04-15
Vasakronan AB (publ),VASKNV,0.942,2021-10-18 00:00:00,2016-10-18,SE0009190606,SE0009190606=,Swedish Krona,Sweden,Corporate,Bond,Plain Vanilla Fixed Coupon,53597290,,Yes,Home Builders,"Real Estate Rental, Development & Operations (NEC)",Sweden,6531,Green Construction,False,2016-10-11
Vasakronan AB (publ),VASKNV,0.962,2021-10-18 00:00:00,2016-10-18,SE0009190614,SE0009190614=,Swedish Krona,Sweden,Corporate,Bond,Fixed Margin over Index,45614715,,Yes,Home Builders,"Real Estate Rental, Development & Operations (NEC)",Sweden,6531,Green Construction,False,2016-10-11
Fondo Especial para Financiamientos Agropecuarios,FDSPA,4.93,2021-10-19 00:00:00,2018-10-23,MX95FE040186,FEFA18V=,Mexican Peso,Mexico,Corporate,Stock Exchange Certificate,Fixed Margin over Index,115636346,,Yes,Financial - Other,UK Investment Trusts,Mexico,6722,,False,2018-10-19
China Datang Corp Renewable Power Co Ltd,SASAXX,3.1,2021-10-21 00:00:00,2016-10-20,CND10000KT44,CN136777SH=,Chinese Yuan,China (Mainland),Corporate,China Corporate Bond,Plain Vanilla Fixed Coupon,73206442,,Yes,Utility - Other,Renewable IPPs,China (Mainland),4911,Alternative Energy,True,2016-10-18
Modern Land (China) Co Ltd,MODLA,12.85,2021-10-25 00:00:00,2019-04-25,XS1986632716,KY198663271=,US Dollar,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,300000000,High Yield,Yes,Service - Other,Residential Real Estate Rental & Development,Cayman Islands,6531,Eligible Green Projects,True,2019-04-17
Credit Agricole Corporate and Investment Bank SA,CAGRAB,1.72,2021-10-26 00:00:00,2017-10-25,XS1566942311,FR156694231=,US Dollar,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,1830000,,Yes,Banking,Banks (NEC),France,6029,Alternative Energy,False,2017-09-12
Bank of Ningbo Co Ltd,NBCBK,3.97,2021-10-26 00:00:00,2018-10-24,CND10001QN92,CN1820059=,Chinese Yuan,China (Mainland),Corporate,China Enterprise Bond,Plain Vanilla Fixed Coupon,439238653,,Yes,Banking,Banks (NEC),China (Mainland),6029,Eligible Green Projects,True,2018-10-22
Industrial Bank Co Ltd,FUXIN,3.99,2021-11-01 00:00:00,2018-10-30,CND10001QPZ8,CN1828014=,Chinese Yuan,China (Mainland),Corporate,China Enterprise Bond,Plain Vanilla Fixed Coupon,4392386530,,Yes,Banking,Banks (NEC),China (Mainland),6021,Eligible Green Projects,True,2018-10-25
Stockland Trust Management Ltd,SGPXM,1.5,2021-11-03 00:00:00,2014-11-03,XS1130340091,AU113034009=,Euro,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,354509359,Investment Grade,Yes,Financial - Other,Corporate Financial Services (NEC),Australia,6799,Energy Efficiency,False,2014-10-23
Fastighets AB Balder,BALD,0.507,2021-11-05 00:00:00,2019-11-05,SE0012676583,SE0012676583=,Swedish Krona,Sweden,Corporate,Bond,Fixed Margin over Index,57018394,,Yes,Home Builders,"Real Estate Rental, Development & Operations (NEC)",Sweden,6531,,True,2019-11-04
Huaneng Tiancheng Financial Leasing Co Ltd,TCLEA,5.9,2021-11-08 00:00:00,2018-11-07,,CN150701SH=,Chinese Yuan,China (Mainland),Corporate,Bond,Plain Vanilla Fixed Coupon,87847730,,Yes,Leasing,Consumer Leasing,China (Mainland),6211,,False,2018-11-07
Nanjing Pukou Kangju Construction Group Co Ltd,NJGVKJ,6.38,2021-11-09 00:00:00,2018-11-08,CND10001WM38,CN131800016=,Chinese Yuan,China (Mainland),Corporate,Bond,Plain Vanilla Fixed Coupon,73206442,,Yes,Financial - Other,Land Division & Subdivision,China (Mainland),6552,Eligible Green Projects,False,2018-11-08
Perusahaan Penerbit Surat Berharga Syariah Negara Indonesia,PPSIN,6.75,2021-11-10 00:00:00,2019-11-28,IDJ000015003,IDSUKIN5003=,Indonesian Rupiah,Indonesia,Agency,Islamic Sukuk (Wakala bil istithmar),Other / Complex Floating Rate,99109300,,Yes,Agency,Corporate Financial Services (NEC),Indonesia,6799,Budgetary Purpose,False,2019-10-31
Nord-Trondelag Elektrisitetsverk AS,NORDG,1.06,2021-11-12 00:00:00,2014-11-12,NO0010723265,NO1072326=,Norwegian Krone,Norway,Corporate,Bond,Fixed Margin over Index,11194572,,Yes,Utility - Other,Electric Utilities (NEC),Norway,4939,Alternative Energy,False,2014-11-04
LG Display Co Ltd,LGPHL,3.875,2021-11-15 00:00:00,2018-11-15,XS1908898668,KR190889866=,US Dollar,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,300000000,Investment Grade,Yes,Electronics,Display Screens,South Korea,3679,Eligible Green Projects,True,2018-11-07
Nederlandse Waterschapsbank NV,NDLWR,2.125,2021-11-15 00:00:00,2017-11-15,XS1716989287,NL171698928=,US Dollar,Eurobond Market,Agency,Note,Plain Vanilla Fixed Coupon,500000000,Investment Grade,Yes,Agency,Banks (NEC),Netherlands,6029,Eligible Green Projects,False,2017-11-07
Jernhusen AB,JENEN,0.751,2021-11-15 00:00:00,2018-11-15,SE0010599407,SE0010599407=,Swedish Krona,Sweden,Corporate,Bond,Fixed Margin over Index,11403678,,Yes,Railroads,Construction & Engineering (NEC),Sweden,4011,Clean Transport,False,2018-11-14
Contact Energy Ltd,CENXX,4.4,2021-11-15 00:00:00,2015-09-04,NZCEND0030L2,NZCEL1121=,New Zealand Dollar,New Zealand,Corporate,Note,Plain Vanilla Fixed Coupon,100349886,Investment Grade,Yes,Utility - Other,Multiline Utilities,New Zealand,4931,Alternative Energy,True,2015-08-28
Nederlandse Waterschapsbank NV,NDLWR,2.125,2021-11-15 00:00:00,2017-11-15,US63983TBK07,63983TBK0=,US Dollar,United States,Agency,Note,Plain Vanilla Fixed Coupon,500000000,Investment Grade,Yes,Agency,Banks (NEC),Netherlands,6029,Eligible Green Projects,False,2017-11-07
China Development Bank,CNDBK,0.375,2021-11-16 00:00:00,2017-11-16,XS1711173218,CN171117321=,Euro,Eurobond Market,Agency,Note,Plain Vanilla Fixed Coupon,1181697863,Investment Grade,Yes,Agency,Corporate Banks,China (Mainland),6021,The Belt and Road Initiative,False,2017-11-09
Scatec Solar ASA,SCAA,5,2021-11-17 00:00:00,2017-11-17,NO0010809684,NO1080968=,Norwegian Krone,Norway,Corporate,Bond,Fixed Margin over Index,111945728,,Yes,Utility - Other,Renewable IPPs,Norway,1623,Energy Efficiency,True,2017-11-01
Bank of Guizhou Co Ltd,BOGZ,4.03,2021-11-20 00:00:00,2018-11-16,CND10001RSX5,CN1820072=,Chinese Yuan,China (Mainland),Corporate,China Enterprise Bond,Plain Vanilla Fixed Coupon,439238653,,Yes,Banking,Corporate Banks,China (Mainland),6029,Eligible Green Projects,True,2018-11-13
Industrial Bank Co Ltd (Hong Kong Branch),FUXINH,1.103,2021-11-20 00:00:00,2018-11-20,XS1898122301,CN189812230=,US Dollar,Eurobond Market,Corporate,Note,Fixed Margin over Index,600000000,Investment Grade,Yes,Banking,Banks (NEC),Hong Kong,6081,Eligible Green Projects,False,2018-11-13
Industrial Bank Co Ltd (Hong Kong Branch),FUXINH,0.367,2021-11-20 00:00:00,2018-11-20,XS1898123374,CN189812337=,Euro,Eurobond Market,Corporate,Note,Fixed Margin over Index,354509359,Investment Grade,Yes,Banking,Banks (NEC),Hong Kong,6081,Eligible Green Projects,False,2018-11-13
Credit Agricole Corporate and Investment Bank SA,CAGRAB,5.2,2021-11-22 00:00:00,2017-11-21,XS1566943632,FR156694363=,Indian Rupee,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,1184576,,Yes,Banking,Banks (NEC),France,6029,Alternative Energy,False,2017-10-06
Bank of Communications Co Ltd,BKCOM,3.25,2021-11-22 00:00:00,2016-11-18,CND10000F3H0,CN1628022=,Chinese Yuan,China (Mainland),Corporate,China Enterprise Bond,Plain Vanilla Fixed Coupon,2928257686,,Yes,Banking,Banks (NEC),China (Mainland),6029,Eligible Green Projects,True,2016-11-15
Beijing Infrastructure Investment Co Ltd,BEJINK,4.45,2021-11-23 00:00:00,2018-11-22,CND10002LRW0,CN136913SH=,Chinese Yuan,China (Mainland),Corporate,China Corporate Bond,Plain Vanilla Fixed Coupon,424597364,,Yes,Financial - Other,Investment Banking & Brokerage Services (NEC),China (Mainland),6799,Eligible Green Projects,False,2018-11-21
Guilin Bank Co Ltd,GUILB,3.99,2021-11-23 00:00:00,2018-11-21,CND10001RTN4,CN1820073=,Chinese Yuan,China (Mainland),Corporate,China Enterprise Bond,Plain Vanilla Fixed Coupon,292825768,,Yes,Banking,Corporate Banks,China (Mainland),6029,Eligible Green Projects,False,2018-11-19
Industrial Bank Co Ltd,FUXIN,3.89,2021-11-26 00:00:00,2018-11-22,CND10001RTM6,CN1828017=,Chinese Yuan,China (Mainland),Corporate,China Enterprise Bond,Plain Vanilla Fixed Coupon,4392386530,,Yes,Banking,Banks (NEC),China (Mainland),6021,Eligible Green Projects,True,2018-11-20
Agricultural Development Bank of China,AGDBC,0,2021-11-26 00:00:00,2018-11-26,XS1901209376,CN190120937=,Euro,Eurobond Market,Agency,Bond,Fixed Margin over Index,590848931,Investment Grade,Yes,Agency,Corporate Banks,China (Mainland),6022,Eligible Green Projects,False,2018-11-19
Zhuhai Da Heng Qin Group Co Ltd,ZHDHQ,4.6,2021-11-27 00:00:00,2019-11-27,HK0000545670,CN208593242=,Chinese Yuan,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,117130307,,Yes,Financial - Other,Investment Holding Companies (NEC),China (Mainland),6799,Eligible Green Projects,False,2019-11-20
Bank Of China (Tokyo Branch),BKCHTO,0.42,2021-11-29 00:00:00,2018-11-29,XS1899011784,CN189901178=,Japanese Yen,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,282352941,Investment Grade,Yes,Banking,Banks (NEC),Japan,6081,Eligible Green Projects,False,2018-11-22
"Vasteras, Municipality of",VAEST,1.008,2021-11-30 00:00:00,2016-11-30,SE0009357338,SE0009357338=,Swedish Krona,Sweden,Non-US Munis,Bond,Fixed Margin over Index,28509197,,Yes,Official and Muni,,Sweden,9311,Eligible Green Projects,False,2016-11-30
Stockholms Kooperativa Bostadsforening KHF,STKBO,1.008,2021-11-30 00:00:00,2016-11-30,SE0009357007,SE0009357007=,Swedish Krona,Sweden,Corporate,Bond,Fixed Margin over Index,34211036,,Yes,Financial - Other,Consumer Leasing,Sweden,6799,Alternative Energy,False,2016-11-21
KfW,KFW,2,2021-11-30 00:00:00,2016-11-30,US500769HD99,500769HD9=,US Dollar,United States,Agency,Note,Plain Vanilla Fixed Coupon,1500000000,Investment Grade,Yes,Agency,Corporate Financial Services (NEC),Germany,6021,Eligible Green Projects,False,2016-11-22
"Vasteras, Municipality of",VAEST,0.497,2021-11-30 00:00:00,2016-11-30,SE0009357320,SE0009357320=,Swedish Krona,Sweden,Non-US Munis,Bond,Plain Vanilla Fixed Coupon,57018394,,Yes,Official and Muni,,Sweden,9311,Eligible Green Projects,False,2016-11-30
Evercore Casa de Bolsa SA de CV,EVRR,5.17,2021-12-03 00:00:00,2016-12-09,MX90GC040000,GCDMXCB16V=,Mexican Peso,Mexico,Corporate,Stock Exchange Certificate,Fixed Margin over Index,46254538,,Yes,Financial - Other,Wealth Management,Mexico,6211,Alternative Energy,False,2016-12-07
China Longyuan Power Group Corp Ltd,CNLYP,3.96,2021-12-04 00:00:00,2018-12-03,,CN155057SH=,Chinese Yuan,China (Mainland),Corporate,China Corporate Bond,Plain Vanilla Fixed Coupon,439238653,,Yes,Utility - Other,Renewable Utilities,China (Mainland),4911,Eligible Green Projects,True,2018-11-29
Bank of Guizhou Co Ltd,BOGZ,4,2021-12-05 00:00:00,2018-12-03,CND10001T8V3,CN1820079=,Chinese Yuan,China (Mainland),Corporate,China Enterprise Bond,Plain Vanilla Fixed Coupon,292825768,,Yes,Banking,Corporate Banks,China (Mainland),6029,Eligible Green Projects,True,2018-11-28
Hyundai Capital Services Inc,HYMTRD,1.733,2021-12-06 00:00:00,2019-12-06,KR60298819C4,KR60298819C=,Korean (South) Won,South Korea,Corporate,Bond,Plain Vanilla Fixed Coupon,42113419,,Yes,Financial - Other,Consumer Lending (NEC),South Korea,6141,Clean Transport,False,2019-12-05
Swiss Life Holding AG,SLHN,0,2021-12-06 00:00:00,2019-12-06,CH0419045809,CH41904580=,Swiss Franc,Switzerland,Corporate,Bond,Fixed Margin over Index,163773337,Investment Grade,Yes,Life Insurance,Life & Health Insurance (NEC),Switzerland,6311,,True,2019-11-08
Export-Import Bank of China,EIBKCM,3.28,2021-12-07 00:00:00,2016-12-05,CND10000G4C8,CN1603001=,Chinese Yuan,China (Mainland),Agency,China Enterprise Bond,Plain Vanilla Fixed Coupon,146412884,,Yes,Agency,Import-Export Banks,China (Mainland),6022,Eligible Green Projects,False,2016-12-05
Bank of Huzhou Co Ltd,HUZHU,4,2021-12-07 00:00:00,2018-12-05,CND10001TMB0,CN1820080=,Chinese Yuan,China (Mainland),Corporate,China Enterprise Bond,Plain Vanilla Fixed Coupon,73206442,,Yes,Banking,Corporate Banks,China (Mainland),6029,Eligible Green Projects,False,2018-11-30
Landesbank Baden Wuerttemberg,LKBF,0.2,2021-12-13 00:00:00,2017-12-13,DE000LB1M214,DE173464096=,Euro,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,886273397,Investment Grade,Yes,Banking,Banks (NEC),Germany,6022,Energy Efficiency,False,2017-12-05
Zhejiang Deqing Rural Commercial Bank Co Ltd,ZJDQCB,4,2021-12-13 00:00:00,2018-12-11,CND10001TMS4,CN1821045=,Chinese Yuan,China (Mainland),Corporate,China Enterprise Bond,Plain Vanilla Fixed Coupon,29282576,,Yes,Banking,Corporate Banks,China (Mainland),6029,Eligible Green Projects,False,2018-12-06
Jiangsu Nantong Rural Commercial Bank Co Ltd,NANCB,4,2021-12-14 00:00:00,2016-12-09,CND10000G5V5,CN1621056=,Chinese Yuan,China (Mainland),Corporate,China Enterprise Bond,Plain Vanilla Fixed Coupon,73206442,,Yes,Banking,Banks (NEC),China (Mainland),6029,Eligible Green Projects,False,2016-12-07
Southern Power Co,SOPWR,2.5,2021-12-15 00:00:00,2016-11-16,US843646AT75,843646AT7=,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,300000000,Investment Grade,Yes,Utility - Other,Electric Utilities (NEC),United States,4911,Alternative Energy,False,2016-11-10
Kommuninvest i Sverige AB,KOMEFS,0.125,2021-12-15 00:00:00,2018-04-30,XS1814404577,SE181440457=,Swedish Krona,Eurobond Market,Agency,Note,Plain Vanilla Fixed Coupon,342110364,Investment Grade,Yes,Agency,Corporate Financial Services (NEC),Sweden,6159,Clean Transport,False,2018-04-23
National Australia Bank Ltd,NAB,4,2021-12-16 00:00:00,2014-12-16,AU3CB0226090,AUNAB1221=,Australian Dollar,Australia,Corporate,Note,Plain Vanilla Fixed Coupon,218219907,Investment Grade,Yes,Banking,Banks (NEC),Australia,6021,Energy Efficiency,True,2014-12-04
Credit Agricole Corporate and Investment Bank SA,CAGRAB,5.3,2021-12-22 00:00:00,2017-12-21,XS1566946577,FR156694657=,Indian Rupee,Eurobond Market,Corporate,Note,Other / Complex Floating Rate,1184576,,Yes,Banking,Banks (NEC),France,6029,Alternative Energy,False,2017-12-21
Bank of Dalian Co Ltd,DACCO,3.85,2021-12-27 00:00:00,2018-12-25,CND10001V5J0,CN1820089=,Chinese Yuan,China (Mainland),Corporate,China Enterprise Bond,Plain Vanilla Fixed Coupon,292825768,,Yes,Banking,Corporate Banks,China (Mainland),6029,Eligible Green Projects,False,2018-12-20
Chongqing Three Gorges Bank Co Ltd,CQTGB,3.96,2021-12-27 00:00:00,2018-12-26,CND10001V5K8,CN1820091=,Chinese Yuan,China (Mainland),Corporate,China Enterprise Bond,Plain Vanilla Fixed Coupon,292825768,,Yes,Banking,Corporate Banks,China (Mainland),6029,Eligible Green Projects,False,2018-12-21
Credit Agricole Corporate and Investment Bank SA,CAGRAB,6.65,2021-12-29 00:00:00,2017-12-28,XS1334464606,FR133446460=,Mexican Peso,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,786327,,Yes,Banking,Banks (NEC),France,6029,Clean Transport,False,2017-12-28
Nykredit Realkredit A/S,FRNYKR,-0.255,2022-01-01 00:00:00,2019-05-29,DK0009523466,DK0009523466=,Danish Krone,Denmark,Corporate,Saerligt Daekkede Obligation (Covered Bond),Fixed Margin over Index,3723085747,Investment Grade,Yes,Mortgage Banking,Retail & Mortgage Banks,Denmark,6162,,False,2019-05-29
Segi Astana Sdn Bhd,WCTES,5.1,2022-01-07 00:00:00,2018-01-08,MYBUH1800052,MYUH180005=,Malaysian Ringgit,Malaysia,Corporate,Bond,Plain Vanilla Fixed Coupon,7220216,,Yes,Financial - Other,Commercial Buildings,Malaysia,6799,,False,2018-01-04
Humlegarden Fastigheter AB,HUMLG,0.453,2022-01-11 00:00:00,2019-12-11,SE0012676682,SE0012676682=,Swedish Krona,Sweden,Corporate,Bond,Fixed Margin over Index,57018394,,Yes,Home Builders,Land Division & Subdivision,Sweden,6531,Eligible Green Projects,False,2019-12-04
Korea Midland Power Co Ltd,KEPCOM,3.375,2022-01-22 00:00:00,2019-01-22,XS1917957687,KR191795768=,US Dollar,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,300000000,Investment Grade,Yes,Utility - Other,Fossil Fuel Electric Utilities,South Korea,4911,Eligible Green Projects,False,2019-01-14
Nanjing Pukou Kangju Construction Group Co Ltd,NJGVKJ,5.6,2022-01-25 00:00:00,2019-01-24,CND10001XG35,CN131900002=,Chinese Yuan,China (Mainland),Corporate,Bond,Plain Vanilla Fixed Coupon,146412884,,Yes,Financial - Other,Land Division & Subdivision,China (Mainland),6552,Eligible Green Projects,False,2019-01-24
Odakyu Electric Railway Co Ltd,ODERY,0.1,2022-01-25 00:00:00,2019-01-31,JP319600AK10,JP00829007=,Japanese Yen,Japan,Corporate,Bond,Plain Vanilla Fixed Coupon,94117647,,Yes,Railroads,"Passenger Transportation, Ground & Sea (NEC)",Japan,4111,,True,2019-01-10
Sinar Kamiri Sdn Bhd,SIKAM,5.12,2022-01-28 00:00:00,2018-01-30,MYBVH1800514,MYSUK180051=,Malaysian Ringgit,Malaysia,Corporate,Islamic Sukuk (Mudaraba),Plain Vanilla Fixed Coupon,3610108,,Yes,Utility - Other,Renewable Utilities,Malaysia,4911,General Purpose,False,2018-01-26
Citigroup Inc,C,0.5,2022-01-29 00:00:00,2019-01-29,XS1939355753,US193935575=,Euro,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,1181697863,Investment Grade,Yes,Banking,Banks (NEC),United States,6712,Acquisition,True,2019-01-22
Zhejiang Deqing Rural Commercial Bank Co Ltd,ZJDQCB,3.9,2022-01-30 00:00:00,2019-01-29,CND10001XSP9,CN1921002=,Chinese Yuan,China (Mainland),Corporate,China Enterprise Bond,Plain Vanilla Fixed Coupon,29282576,,Yes,Banking,Corporate Banks,China (Mainland),6029,Eligible Green Projects,False,2019-01-24
Jiangsu Guoxin Group Co Ltd,JIANGE,3.58,2022-01-30 00:00:00,2019-01-29,CND10001ZNB5,CN101900178=,Chinese Yuan,China (Mainland),Corporate,Note,Plain Vanilla Fixed Coupon,146412884,,Yes,Financial - Other,Electric Utilities (NEC),China (Mainland),6722,Eligible Green Projects,False,2019-01-25
Greenalia SA,GRN,5.5,2022-01-31 00:00:00,2019-01-31,XS1940978163,ES194097816=,Euro,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,7090187,,Yes,Building Products,Forest & Wood Products (NEC),Spain,811,Energy Efficiency,True,2019-01-31
Sunndal Sparebank,SUNSB,1.04,2022-02-01 00:00:00,2019-02-01,NO0010842321,NO1084232=,Norwegian Krone,Norway,Corporate,Bond,Fixed Margin over Index,8395929,,Yes,Banking,Corporate Banks,Norway,6029,,True,2019-01-24
